experiment_id,trajectory_file,seed,fail_phase,fail_step,num_contacts,num_failure_modes,had_any_collision,impacted_geom_ids,npz_file
exp_00000,scene_level2_RRTConnect_new_baseline.pkl,0,7,2,73884,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;84;89;97;98;99;100;101,exp_00000.npz
exp_00001,scene_level2_RRTConnect_new_baseline.pkl,1,7,1,73779,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;84;89;97;98;99;100;101,exp_00001.npz
exp_00002,scene_level2_RRTConnect_new_baseline.pkl,2,7,1,73779,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;84;89;97;98;99;100;101,exp_00002.npz
exp_00003,scene_level2_RRTConnect_new_baseline.pkl,3,7,1,73779,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;84;89;97;98;99;100;101,exp_00003.npz
exp_00004,scene_level2_RRTConnect_new_baseline.pkl,4,7,1,73779,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;84;89;97;98;99;100;101,exp_00004.npz
exp_00005,scene_level2_RRTConnect_sample_0.pkl,5,7,2,65733,6,True,0;65;69;70;71;72;73;79;80;81;95;96;97;98;99;100;101,exp_00005.npz
exp_00006,scene_level2_RRTConnect_sample_0.pkl,6,7,1,65076,6,True,0;65;69;70;71;72;73;79;80;81;95;96;97;98;99;100;101,exp_00006.npz
exp_00007,scene_level2_RRTConnect_sample_0.pkl,7,7,1,65076,6,True,0;65;69;70;71;72;73;79;80;81;95;96;97;98;99;100;101,exp_00007.npz
exp_00008,scene_level2_RRTConnect_sample_0.pkl,8,6,2,59677,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;82;83;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101,exp_00008.npz
exp_00009,scene_level2_RRTConnect_sample_0.pkl,9,7,2,65733,6,True,0;65;69;70;71;72;73;79;80;81;95;96;97;98;99;100;101,exp_00009.npz
exp_00010,scene_level2_RRTConnect_sample_1.pkl,10,7,2,64434,6,True,0;65;68;69;70;71;72;73;78;79;80;81;84;88;89;93;94;97;98;99;100;101,exp_00010.npz
exp_00011,scene_level2_RRTConnect_sample_1.pkl,11,7,2,64434,6,True,0;65;68;69;70;71;72;73;78;79;80;81;84;88;89;93;94;97;98;99;100;101,exp_00011.npz
exp_00012,scene_level2_RRTConnect_sample_1.pkl,12,7,2,64434,6,True,0;65;68;69;70;71;72;73;78;79;80;81;84;88;89;93;94;97;98;99;100;101,exp_00012.npz
exp_00013,scene_level2_RRTConnect_sample_1.pkl,13,6,1,58941,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;82;83;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101,exp_00013.npz
exp_00014,scene_level2_RRTConnect_sample_1.pkl,14,6,1,58941,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;82;83;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101,exp_00014.npz
exp_00015,scene_level2_RRTConnect_sample_7.pkl,15,7,1,64269,6,True,0;26;30;65;68;69;70;71;72;73;78;79;80;81;83;84;97;98;99;100;101,exp_00015.npz
exp_00016,scene_level2_RRTConnect_sample_7.pkl,16,7,2,64455,6,True,0;26;30;65;69;70;71;72;73;78;79;80;81;83;84;97;98;99;100;101,exp_00016.npz
exp_00017,scene_level2_RRTConnect_sample_7.pkl,17,7,2,64455,6,True,0;26;30;65;69;70;71;72;73;78;79;80;81;83;84;97;98;99;100;101,exp_00017.npz
exp_00018,scene_level2_RRTConnect_sample_7.pkl,18,6,2,59542,6,True,0;65;68;69;70;71;72;73;76;77;78;79;80;81;82;83;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101,exp_00018.npz
exp_00019,scene_level2_RRTConnect_sample_7.pkl,19,7,1,64269,6,True,0;26;30;65;68;69;70;71;72;73;78;79;80;81;83;84;97;98;99;100;101,exp_00019.npz
