experiment_id,trajectory_file,seed,fail_phase,fail_step,num_contacts,num_failure_modes,had_any_collision,impacted_geom_ids,pre_qvel_norm,npz_file
exp_00000,scene_level2_RRTConnect_new_baseline.pkl,0,7,55,9480,1,True,0;73;88;95;99;100;101;102;103,2.1163,exp_00000.npz
exp_00001,scene_level2_RRTConnect_new_baseline.pkl,1,7,0,9264,1,True,0;88;94;99;100;101;102;103,1.3596,exp_00001.npz
exp_00002,scene_level2_RRTConnect_new_baseline.pkl,2,7,10,8964,1,True,0;88;91;99;100;101;102;103,0.8122,exp_00002.npz
exp_00003,scene_level2_RRTConnect_new_baseline.pkl,3,7,0,9264,1,True,0;88;94;99;100;101;102;103,1.3596,exp_00003.npz
exp_00004,scene_level2_RRTConnect_new_baseline.pkl,4,7,0,15284,1,True,0;65;70;71;72;73;74;75;88;94;99;100;101;102;103,1.3596,exp_00004.npz
exp_00005,scene_level2_RRTConnect_new_baseline.pkl,5,7,85,8909,1,True,0;73;83;88;94;99;100;101;102;103,1.9651,exp_00005.npz
exp_00006,scene_level2_RRTConnect_new_baseline.pkl,6,7,10,9321,1,True,0;73;88;91;99;100;101;102;103,0.8122,exp_00006.npz
exp_00007,scene_level2_RRTConnect_new_baseline.pkl,7,7,25,9903,1,True,0;73;80;81;82;83;88;91;99;100;101;102;103,1.4594,exp_00007.npz
exp_00008,scene_level2_RRTConnect_new_baseline.pkl,8,7,0,9264,1,True,0;88;94;99;100;101;102;103,1.3596,exp_00008.npz
exp_00009,scene_level2_RRTConnect_new_baseline.pkl,9,7,40,11025,1,True,0;73;82;83;88;90;91;96;99;100;101;102;103,1.8439,exp_00009.npz
exp_00010,scene_level2_RRTConnect_sample_0.pkl,10,7,55,9039,1,True,0;74;88;96;97;99;100;101;102;103,2.2941,exp_00010.npz
exp_00011,scene_level2_RRTConnect_sample_0.pkl,11,7,70,12057,1,True,0;78;79;80;81;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103,2.5253,exp_00011.npz
exp_00012,scene_level2_RRTConnect_sample_0.pkl,12,7,85,8767,1,True,0;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103,2.3385,exp_00012.npz
exp_00013,scene_level2_RRTConnect_sample_0.pkl,13,6,85,12828,1,True,0;65;72;73;74;75;80;81;82;83;88;97;98;99;100;101;102;103,1.7405,exp_00013.npz
exp_00014,scene_level2_RRTConnect_sample_0.pkl,14,6,85,8000,1,True,0;100;101;102;103,1.7405,exp_00014.npz
exp_00015,scene_level2_RRTConnect_sample_0.pkl,15,7,10,10087,1,True,0;72;73;80;81;88;97;99;100;101;102;103,1.0307,exp_00015.npz
exp_00016,scene_level2_RRTConnect_sample_0.pkl,16,7,55,9372,1,True,0;88;96;97;99;100;101;102;103,2.2941,exp_00016.npz
exp_00017,scene_level2_RRTConnect_sample_0.pkl,17,7,40,12677,1,True,0;65;72;73;74;75;78;79;80;81;82;83;88;96;97;99;100;101;102;103,1.8788,exp_00017.npz
exp_00018,scene_level2_RRTConnect_sample_0.pkl,18,6,85,9646,1,True,0;72;73;88;97;98;99;100;101;102;103,1.7405,exp_00018.npz
exp_00019,scene_level2_RRTConnect_sample_0.pkl,19,7,70,8687,1,True,0;88;96;97;99;100;101;102;103,2.5253,exp_00019.npz
exp_00020,scene_level2_RRTConnect_sample_1.pkl,20,7,85,8000,1,True,0;100;101;102;103,1.3778,exp_00020.npz
exp_00021,scene_level2_RRTConnect_sample_1.pkl,21,6,85,9492,1,True,0;73;88;95;96;99;100;101;102;103,1.9333,exp_00021.npz
exp_00022,scene_level2_RRTConnect_sample_1.pkl,22,7,25,8827,1,True,0;73;88;95;96;99;100;101;102;103,0.9999,exp_00022.npz
exp_00023,scene_level2_RRTConnect_sample_1.pkl,23,7,40,12589,1,True,0;65;71;72;73;74;75;80;81;82;83;88;95;99;100;101;102;103,1.2044,exp_00023.npz
exp_00024,scene_level2_RRTConnect_sample_1.pkl,24,7,70,8660,1,True,0;88;94;95;99;100;101;102;103,1.5034,exp_00024.npz
exp_00025,scene_level2_RRTConnect_sample_1.pkl,25,7,10,8943,1,True,0;88;96;99;100;101;102;103,0.7551,exp_00025.npz
exp_00026,scene_level2_RRTConnect_sample_1.pkl,26,7,25,13630,1,True,0;65;72;73;74;75;88;95;96;99;100;101;102;103,0.9999,exp_00026.npz
exp_00027,scene_level2_RRTConnect_sample_1.pkl,27,7,85,8940,1,True,0;88;94;99;100;101;102;103,1.3778,exp_00027.npz
exp_00028,scene_level2_RRTConnect_sample_1.pkl,28,6,25,8847,1,True,0;73;88;92;93;99;100;101;102;103,1.6823,exp_00028.npz
exp_00029,scene_level2_RRTConnect_sample_1.pkl,29,7,40,9721,1,True,0;73;80;81;83;88;95;99;100;101;102;103,1.2044,exp_00029.npz
exp_00030,scene_level2_RRTConnect_sample_7.pkl,30,7,40,14966,1,True,0;65;70;71;72;73;74;75;78;79;80;81;82;83;88;90;99;100;101;102;103,2.3167,exp_00030.npz
exp_00031,scene_level2_RRTConnect_sample_7.pkl,31,6,10,8027,1,True,0;82;83;88;100;101;102;103,1.0073,exp_00031.npz
exp_00032,scene_level2_RRTConnect_sample_7.pkl,32,6,25,10507,1,True,0;73;87;88;92;93;99;100;101;102;103,1.6545,exp_00032.npz
exp_00033,scene_level2_RRTConnect_sample_7.pkl,33,7,85,9211,1,True,0;72;73;88;94;99;100;101;102;103,2.2307,exp_00033.npz
exp_00034,scene_level2_RRTConnect_sample_7.pkl,34,7,70,8633,1,True,0;72;73;88;94;95;99;100;101;102;103,2.5812,exp_00034.npz
exp_00035,scene_level2_RRTConnect_sample_7.pkl,35,7,25,22525,1,True,0;65;70;71;72;73;74;75;80;82;83;85;88;90;99;100;101;102;103,1.6945,exp_00035.npz
exp_00036,scene_level2_RRTConnect_sample_7.pkl,36,7,10,12264,1,True,0;65;72;73;74;75;84;85;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103,0.689,exp_00036.npz
exp_00037,scene_level2_RRTConnect_sample_7.pkl,37,7,10,15375,1,True,0;65;72;73;74;75;85;88;99;100;101;102;103,0.689,exp_00037.npz
exp_00038,scene_level2_RRTConnect_sample_7.pkl,38,7,55,8532,1,True,0;72;73;80;81;85;88;90;99;100;101;102;103,2.601,exp_00038.npz
exp_00039,scene_level2_RRTConnect_sample_7.pkl,39,6,55,9497,1,True,0;73;88;91;99;100;101;102;103,2.8488,exp_00039.npz
